model_key,base_model,tulu_model,tulu_model_weight,safety_model,safety_model_weight,merge_method,safe_average,unsafe_average
llama_2_7b-tulu_all-safety_none,llama_2_7b,tulu_all,1.0,safety_none,0.0,N/A,99.19999603200017,31.99999872000005
llama_2_7b-tulu_all-safety_none_seed_123,llama_2_7b,tulu_all,1.0,safety_none_seed_123,1.0,N/A,99.19999603200017,31.499998740000052
llama_2_7b-tulu_all-safety_none_seed_52830,llama_2_7b,tulu_all,1.0,safety_none_seed_52830,1.0,N/A,98.79999604800017,33.49999866000005
llama_2_7b-tulu_all-safety_20,llama_2_7b,tulu_all,1.0,safety_20,1.0,N/A,57.99999768000009,1.4999999400000024
llama_2_7b-tulu_all-safety_40,llama_2_7b,tulu_all,1.0,safety_40,1.0,N/A,47.999998080000076,0.0
llama_2_7b-tulu_all-safety_60,llama_2_7b,tulu_all,1.0,safety_60,1.0,N/A,41.199998352000065,0.0
llama_2_7b-tulu_all-safety_80,llama_2_7b,tulu_all,1.0,safety_80,1.0,N/A,41.19999835200006,0.0
llama_2_7b-tulu_all-safety_100,llama_2_7b,tulu_all,1.0,safety_100,1.0,N/A,35.59999857600006,0.4999999800000008
llama_2_7b-tulu_all-safety_upsample,llama_2_7b,tulu_all,1.0,safety_upsample,1.0,N/A,43.99999824000007,0.0
llama_2_7b-tulu_none-safety_20,llama_2_7b,tulu_none,0.0,safety_20,1.0,N/A,5.599999776000009,0.0
llama_2_7b-tulu_none-safety_40,llama_2_7b,tulu_none,0.0,safety_40,1.0,N/A,9.999999600000017,0.0
llama_2_7b-tulu_none-safety_60,llama_2_7b,tulu_none,0.0,safety_60,1.0,N/A,9.999999600000017,0.0
llama_2_7b-tulu_none-safety_80,llama_2_7b,tulu_none,0.0,safety_80,1.0,N/A,14.399999424000024,0.0
llama_2_7b-tulu_none-safety_100,llama_2_7b,tulu_none,0.0,safety_100,1.0,N/A,7.999999680000011,0.4999999800000008
llama_2_7b-tulu_none-safety_upsample,llama_2_7b,tulu_none,0.0,safety_upsample,1.0,N/A,6.79999972800001,0.0
llama_2_7b-tulu_all-safety_v0_all,llama_2_7b,tulu_all,1.0,safety_v0_all,1.0,N/A,91.99999632000015,6.49999974000001
tulu_2_7b_uncensored-tulu_match-safety_20,tulu_2_7b_uncensored,tulu_match,1.0,safety_20,1.0,N/A,34.39999862400005,0.0
tulu_2_7b_uncensored-tulu_match-safety_40,tulu_2_7b_uncensored,tulu_match,1.0,safety_40,1.0,N/A,25.599998976000037,0.0
tulu_2_7b_uncensored-tulu_match-safety_60,tulu_2_7b_uncensored,tulu_match,1.0,safety_60,1.0,N/A,26.799998928000036,0.0
tulu_2_7b_uncensored-tulu_match-safety_80,tulu_2_7b_uncensored,tulu_match,1.0,safety_80,1.0,N/A,19.599999216000032,0.0
tulu_2_7b_uncensored-tulu_match-safety_100,tulu_2_7b_uncensored,tulu_match,1.0,safety_100,1.0,N/A,27.99999888000005,0.0
tulu_2_7b_uncensored-tulu_none-safety_20,tulu_2_7b_uncensored,tulu_none,0.0,safety_20,1.0,N/A,6.399999744000009,0.0
tulu_2_7b_uncensored-tulu_none-safety_40,tulu_2_7b_uncensored,tulu_none,0.0,safety_40,1.0,N/A,12.399999504000021,0.0
tulu_2_7b_uncensored-tulu_none-safety_60,tulu_2_7b_uncensored,tulu_none,0.0,safety_60,1.0,N/A,10.799999568000015,0.0
tulu_2_7b_uncensored-tulu_none-safety_80,tulu_2_7b_uncensored,tulu_none,0.0,safety_80,1.0,N/A,13.199999472000021,0.0
tulu_2_7b_uncensored-tulu_none-safety_100,tulu_2_7b_uncensored,tulu_none,0.0,safety_100,1.0,N/A,13.599999456000022,0.0
tulu_2_7b_uncensored-tulu_none-safety_upsample,tulu_2_7b_uncensored,tulu_none,0.0,safety_upsample,1.0,N/A,7.599999696000012,0.0
